"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 08 12:43:15 EST 2024","Mon Jan 08 12:43:18 EST 2024","3018","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:43:32 EST 2024","Mon Jan 08 12:43:34 EST 2024","2592","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:44:11 EST 2024","Mon Jan 08 12:44:12 EST 2024","1489","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:44:05 EST 2024","Mon Jan 08 12:44:07 EST 2024","2376","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:43:23 EST 2024","Mon Jan 08 12:43:24 EST 2024","1223","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:44:01 EST 2024","Mon Jan 08 12:44:02 EST 2024","1073","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:43:10 EST 2024","Mon Jan 08 12:43:15 EST 2024","4881","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:44:07 EST 2024","Mon Jan 08 12:44:08 EST 2024","1376","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:44:08 EST 2024","Mon Jan 08 12:44:10 EST 2024","1249","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:44:12 EST 2024","Mon Jan 08 12:44:23 EST 2024","11098","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:44:10 EST 2024","Mon Jan 08 12:44:11 EST 2024","1236","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:43:24 EST 2024","Mon Jan 08 12:43:29 EST 2024","5220","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:44:03 EST 2024","Mon Jan 08 12:44:05 EST 2024","1421","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:43:34 EST 2024","Mon Jan 08 12:43:58 EST 2024","23759","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:43:58 EST 2024","Mon Jan 08 12:44:01 EST 2024","2742","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:44:23 EST 2024","Mon Jan 08 12:44:39 EST 2024","15767","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:43:29 EST 2024","Mon Jan 08 12:43:32 EST 2024","2791","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Jan 08 12:44:02 EST 2024","Mon Jan 08 12:44:03 EST 2024","1226","Surefire suite","Surefire test","testrunner.TestRunner","testrunner.TestRunner","runScenario","Runs Cucumber Scenarios",""
